F,O2,O4,O6,O8
15.8113883008419,0.0958655217440861,0.00927504244242195,0.0008933090107585,8.60338310842684E-05
16.5565560741296,0.0871435935591876,0.00765189209365172,0.000669379231236172,5.85548873961559E-05
17.3368425226266,0.0791720020314246,0.00630761866912152,0.00050096923333786,3.97876441240055E-05
18.1539027385051,0.0718890291941656,0.00519480973694286,0.000374423617725754,2.69867837312957E-05
19.0094698160281,0.0652373714215742,0.00427406582142547,0.000279426608320576,1.82679835586875E-05
19.9053585276749,0.0591639935403259,0.00351265214853478,0.000208188508164462,1.23388946771594E-05
20.8434691735168,0.0536199393592131,0.00288337594207599,0.00015482982925863,8.31393627785824E-06
21.8257916120083,0.0485601154533796,0.00236365192485196,0.0001149151074014,5.58688907500188E-06
22.8544094807438,0.0439430604629591,0.00193472489593975,8.5100102139406E-05,3.74318224571202E-06
23.9315046161319,0.0397307090644404,0.00158102299425459,6.28649180009474E-05,2.49967952095831E-06
25.0593616813636,0.0358881571045364,0.00128961973769488,4.63119572563477E-05,1.66313445402938E-06
26.2403730124886,0.0323834323799045,0.00104978702237725,3.40135802340281E-05,1.10206975736824E-06
27.4770436928812,0.0291872743516583,0.00085262304053392,2.48963799294879E-05,7.26989457060163E-07
28.7719968668578,0.0262729245742448,0.000690743207273932,1.81541238841116E-05,4.77136164678423E-07
30.1279793037179,0.0236159291855438,0.000558023251810378,1.31819267264745E-05,3.1140026844875E-07
31.5478672240097,0.0211939538633215,0.000449385498419122,9.52640318142487E-06,2.01954303971805E-07
33.0346724003798,0.018986611655196,0.000360621408266221,6.84822133912323E-06,1.30056647984784E-07
34.5915485459468,0.0169753032644741,0.00028824397616701,4.89375826244892E-06,8.31104082835791E-08
36.2217980037495,0.0151430696289531,0.000229365168388067,3.4737151820177E-06,5.26337709157407E-08
37.9288787514592,0.0134744565024247,0.000181593970901975,2.44713155123525E-06,3.30042373511636E-08
39.7164117362141,0.0119553900447954,0.000142951833365074,1.70921604579317E-06,2.04824805970665E-08
41.5881885551336,0.0105730633409268,0.000111802232789834,1.18223171709735E-06,1.25763188152697E-08
43.548179497804,0.00931583296977538,8.67922876254646E-05,8.08595692017047E-07,7.54900147790519E-09
45.6005419677955,0.00817312574632306,6.68044706200658E-05,5.46046086492443E-07,4.49013426329611E-09
47.7496293010718,0.00713535386205002,5.09158819546662E-05,3.63328197887514E-07,2.60903777178204E-09
50,0.00615535741642633,3.75553050019322E-05,2.26751397943914E-07,1.39229442971622E-09
